ticker,mentions,days,corr_same_day,corr_next_day,best
CFO,218,1864,-0.0249,0.0305,0.0305
RBC,162,2743,0.0744,0.0081,0.0744
PT,339,776,0.0335,0.0046,0.0335
OI,113,2743,0.0357,-0.0147,0.0357
UBS,236,2743,-0.0333,-0.0184,0.0333
IPO,100,2042,0.0445,-0.0225,0.0445
BMO,107,2743,-0.016,-0.0278,0.0278
NOTE,192,244,,,
